metro_name,c5_coi_met_lbl,kfrd
"Akron, OH",Very Low,30528
"Akron, OH",Low,36992
"Akron, OH",Moderate,40960
"Akron, OH",High,46449
"Akron, OH",Very High,53782
"Albany-Schenectady-Troy, NY",Very Low,35690
"Albany-Schenectady-Troy, NY",Low,43669
"Albany-Schenectady-Troy, NY",Moderate,46449
"Albany-Schenectady-Troy, NY",High,50771
"Albany-Schenectady-Troy, NY",Very High,55334
"Albuquerque, NM",Very Low,31813
"Albuquerque, NM",Low,35690
"Albuquerque, NM",Moderate,39627
"Albuquerque, NM",High,40960
"Albuquerque, NM",Very High,45050
"Allentown-Bethlehem-Easton, PA-NJ",Very Low,35690
"Allentown-Bethlehem-Easton, PA-NJ",Low,43669
"Allentown-Bethlehem-Easton, PA-NJ",Moderate,49306
"Allentown-Bethlehem-Easton, PA-NJ",High,49306
"Allentown-Bethlehem-Easton, PA-NJ",Very High,52262
"Atlanta-Sandy Springs-Alpharetta, GA",Very Low,29242
"Atlanta-Sandy Springs-Alpharetta, GA",Low,33101
"Atlanta-Sandy Springs-Alpharetta, GA",Moderate,36992
"Atlanta-Sandy Springs-Alpharetta, GA",High,42306
"Atlanta-Sandy Springs-Alpharetta, GA",Very High,47867
"Augusta-Richmond County, GA-SC",Very Low,29242
"Augusta-Richmond County, GA-SC",Low,31813
"Augusta-Richmond County, GA-SC",Moderate,33101
"Augusta-Richmond County, GA-SC",High,36992
"Augusta-Richmond County, GA-SC",Very High,47867
"Austin-Round Rock-Georgetown, TX",Very Low,35690
"Austin-Round Rock-Georgetown, TX",Low,40960
"Austin-Round Rock-Georgetown, TX",Moderate,43669
"Austin-Round Rock-Georgetown, TX",High,46449
"Austin-Round Rock-Georgetown, TX",Very High,53782
"Bakersfield, CA",Very Low,38305
"Bakersfield, CA",Low,42306
"Bakersfield, CA",Moderate,40960
"Bakersfield, CA",High,45050
"Bakersfield, CA",Very High,50771
"Baltimore-Columbia-Towson, MD",Very Low,27957
"Baltimore-Columbia-Towson, MD",Low,36992
"Baltimore-Columbia-Towson, MD",Moderate,42306
"Baltimore-Columbia-Towson, MD",High,46449
"Baltimore-Columbia-Towson, MD",Very High,53782
"Baton Rouge, LA",Very Low,31813
"Baton Rouge, LA",Low,38305
"Baton Rouge, LA",Moderate,42306
"Baton Rouge, LA",High,43669
"Baton Rouge, LA",Very High,43669
"Birmingham-Hoover, AL",Very Low,26675
"Birmingham-Hoover, AL",Low,35690
"Birmingham-Hoover, AL",Moderate,36992
"Birmingham-Hoover, AL",High,42306
"Birmingham-Hoover, AL",Very High,50771
"Boise City, ID",Very Low,38305
"Boise City, ID",Low,42306
"Boise City, ID",Moderate,45050
"Boise City, ID",High,45050
"Boise City, ID",Very High,45050
"Boston-Cambridge-Newton, MA-NH",Very Low,39627
"Boston-Cambridge-Newton, MA-NH",Low,45050
"Boston-Cambridge-Newton, MA-NH",Moderate,49306
"Boston-Cambridge-Newton, MA-NH",High,53782
"Boston-Cambridge-Newton, MA-NH",Very High,58542
"Bridgeport-Stamford-Norwalk, CT",Very Low,35690
"Bridgeport-Stamford-Norwalk, CT",Low,43669
"Bridgeport-Stamford-Norwalk, CT",Moderate,55334
"Bridgeport-Stamford-Norwalk, CT",High,55334
"Bridgeport-Stamford-Norwalk, CT",Very High,56921
"Brownsville-Harlingen, TX",Very Low,40960
"Brownsville-Harlingen, TX",Low,42306
"Brownsville-Harlingen, TX",Moderate,40960
"Brownsville-Harlingen, TX",High,45050
"Brownsville-Harlingen, TX",Very High,45050
"Buffalo-Cheektowaga, NY",Very Low,31813
"Buffalo-Cheektowaga, NY",Low,40960
"Buffalo-Cheektowaga, NY",Moderate,46449
"Buffalo-Cheektowaga, NY",High,52262
"Buffalo-Cheektowaga, NY",Very High,53782
"Cape Coral-Fort Myers, FL",Very Low,31813
"Cape Coral-Fort Myers, FL",Low,35690
"Cape Coral-Fort Myers, FL",Moderate,38305
"Cape Coral-Fort Myers, FL",High,40960
"Cape Coral-Fort Myers, FL",Very High,43669
"Charleston-North Charleston, SC",Very Low,34395
"Charleston-North Charleston, SC",Low,35690
"Charleston-North Charleston, SC",Moderate,38305
"Charleston-North Charleston, SC",High,35690
"Charleston-North Charleston, SC",Very High,40960
"Charlotte-Concord-Gastonia, NC-SC",Very Low,29242
"Charlotte-Concord-Gastonia, NC-SC",Low,31813
"Charlotte-Concord-Gastonia, NC-SC",Moderate,36992
"Charlotte-Concord-Gastonia, NC-SC",High,38305
"Charlotte-Concord-Gastonia, NC-SC",Very High,46449
"Chicago-Naperville-Elgin, IL-IN-WI",Very Low,31813
"Chicago-Naperville-Elgin, IL-IN-WI",Low,40960
"Chicago-Naperville-Elgin, IL-IN-WI",Moderate,46449
"Chicago-Naperville-Elgin, IL-IN-WI",High,49306
"Chicago-Naperville-Elgin, IL-IN-WI",Very High,53782
"Cincinnati, OH-KY-IN",Very Low,29242
"Cincinnati, OH-KY-IN",Low,35690
"Cincinnati, OH-KY-IN",Moderate,39627
"Cincinnati, OH-KY-IN",High,43669
"Cincinnati, OH-KY-IN",Very High,47867
"Cleveland-Elyria, OH",Very Low,27957
"Cleveland-Elyria, OH",Low,36992
"Cleveland-Elyria, OH",Moderate,42306
"Cleveland-Elyria, OH",High,47867
"Cleveland-Elyria, OH",Very High,52262
"Colorado Springs, CO",Very Low,35690
"Colorado Springs, CO",Low,39627
"Colorado Springs, CO",Moderate,43669
"Colorado Springs, CO",High,46449
"Colorado Springs, CO",Very High,52262
"Columbia, SC",Very Low,30528
"Columbia, SC",Low,33101
"Columbia, SC",Moderate,35690
"Columbia, SC",High,35690
"Columbia, SC",Very High,43669
"Columbus, OH",Very Low,29242
"Columbus, OH",Low,36992
"Columbus, OH",Moderate,40960
"Columbus, OH",High,45050
"Columbus, OH",Very High,49306
"Dallas-Fort Worth-Arlington, TX",Very Low,33101
"Dallas-Fort Worth-Arlington, TX",Low,39627
"Dallas-Fort Worth-Arlington, TX",Moderate,42306
"Dallas-Fort Worth-Arlington, TX",High,45050
"Dallas-Fort Worth-Arlington, TX",Very High,52262
"Dayton-Kettering, OH",Very Low,27957
"Dayton-Kettering, OH",Low,35690
"Dayton-Kettering, OH",Moderate,39627
"Dayton-Kettering, OH",High,43669
"Dayton-Kettering, OH",Very High,45050
"Denver-Aurora-Lakewood, CO",Very Low,36992
"Denver-Aurora-Lakewood, CO",Low,42306
"Denver-Aurora-Lakewood, CO",Moderate,46449
"Denver-Aurora-Lakewood, CO",High,49306
"Denver-Aurora-Lakewood, CO",Very High,52262
"Des Moines-West Des Moines, IA",Very Low,39627
"Des Moines-West Des Moines, IA",Low,46449
"Des Moines-West Des Moines, IA",Moderate,52262
"Des Moines-West Des Moines, IA",High,53782
"Des Moines-West Des Moines, IA",Very High,50771
"Detroit-Warren-Dearborn, MI",Very Low,27957
"Detroit-Warren-Dearborn, MI",Low,38305
"Detroit-Warren-Dearborn, MI",Moderate,42306
"Detroit-Warren-Dearborn, MI",High,45050
"Detroit-Warren-Dearborn, MI",Very High,49306
"Durham-Chapel Hill, NC",Very Low,27957
"Durham-Chapel Hill, NC",Low,34395
"Durham-Chapel Hill, NC",Moderate,33101
"Durham-Chapel Hill, NC",High,38305
"Durham-Chapel Hill, NC",Very High,43669
"El Paso, TX",Very Low,39627
"El Paso, TX",Low,40960
"El Paso, TX",Moderate,42306
"El Paso, TX",High,42306
"El Paso, TX",Very High,47867
"Fayetteville, NC",Very Low,29242
"Fayetteville, NC",Low,34395
"Fayetteville, NC",Moderate,33101
"Fayetteville, NC",High,33101
"Fayetteville, NC",Very High,35690
"Fayetteville-Springdale-Rogers, AR",Very Low,38305
"Fayetteville-Springdale-Rogers, AR",Low,40960
"Fayetteville-Springdale-Rogers, AR",Moderate,42306
"Fayetteville-Springdale-Rogers, AR",High,40960
"Fayetteville-Springdale-Rogers, AR",Very High,43669
"Fresno, CA",Very Low,33101
"Fresno, CA",Low,35690
"Fresno, CA",Moderate,38305
"Fresno, CA",High,40960
"Fresno, CA",Very High,50771
"Grand Rapids-Kentwood, MI",Very Low,34395
"Grand Rapids-Kentwood, MI",Low,38305
"Grand Rapids-Kentwood, MI",Moderate,40960
"Grand Rapids-Kentwood, MI",High,49306
"Grand Rapids-Kentwood, MI",Very High,49306
"Greensboro-High Point, NC",Very Low,27957
"Greensboro-High Point, NC",Low,31813
"Greensboro-High Point, NC",Moderate,33101
"Greensboro-High Point, NC",High,36992
"Greensboro-High Point, NC",Very High,42306
"Greenville-Anderson, SC",Very Low,29242
"Greenville-Anderson, SC",Low,33101
"Greenville-Anderson, SC",Moderate,35690
"Greenville-Anderson, SC",High,38305
"Greenville-Anderson, SC",Very High,42306
"Hartford-East Hartford-Middletown, CT",Very Low,34395
"Hartford-East Hartford-Middletown, CT",Low,40960
"Hartford-East Hartford-Middletown, CT",Moderate,46449
"Hartford-East Hartford-Middletown, CT",High,50771
"Hartford-East Hartford-Middletown, CT",Very High,52262
"Houston-The Woodlands-Sugar Land, TX",Very Low,38305
"Houston-The Woodlands-Sugar Land, TX",Low,42306
"Houston-The Woodlands-Sugar Land, TX",Moderate,45050
"Houston-The Woodlands-Sugar Land, TX",High,49306
"Houston-The Woodlands-Sugar Land, TX",Very High,52262
"Indianapolis-Carmel-Anderson, IN",Very Low,29242
"Indianapolis-Carmel-Anderson, IN",Low,35690
"Indianapolis-Carmel-Anderson, IN",Moderate,39627
"Indianapolis-Carmel-Anderson, IN",High,43669
"Indianapolis-Carmel-Anderson, IN",Very High,49306
"Jackson, MS",Very Low,29242
"Jackson, MS",Low,33101
"Jackson, MS",Moderate,34395
"Jackson, MS",High,35690
"Jackson, MS",Very High,45050
"Jacksonville, FL",Very Low,30528
"Jacksonville, FL",Low,33101
"Jacksonville, FL",Moderate,38305
"Jacksonville, FL",High,38305
"Jacksonville, FL",Very High,40960
"Kansas City, MO-KS",Very Low,31813
"Kansas City, MO-KS",Low,42306
"Kansas City, MO-KS",Moderate,45050
"Kansas City, MO-KS",High,49306
"Kansas City, MO-KS",Very High,53782
"Knoxville, TN",Very Low,30528
"Knoxville, TN",Low,34395
"Knoxville, TN",Moderate,36992
"Knoxville, TN",High,35690
"Knoxville, TN",Very High,43669
"Lakeland-Winter Haven, FL",Very Low,31813
"Lakeland-Winter Haven, FL",Low,33101
"Lakeland-Winter Haven, FL",Moderate,35690
"Lakeland-Winter Haven, FL",High,36992
"Lakeland-Winter Haven, FL",Very High,42306
"Las Vegas-Henderson-Paradise, NV",Very Low,33101
"Las Vegas-Henderson-Paradise, NV",Low,36992
"Las Vegas-Henderson-Paradise, NV",Moderate,39627
"Las Vegas-Henderson-Paradise, NV",High,43669
"Las Vegas-Henderson-Paradise, NV",Very High,46449
"Little Rock-North Little Rock-Conway, AR",Very Low,29242
"Little Rock-North Little Rock-Conway, AR",Low,35690
"Little Rock-North Little Rock-Conway, AR",Moderate,38305
"Little Rock-North Little Rock-Conway, AR",High,42306
"Little Rock-North Little Rock-Conway, AR",Very High,39627
"Los Angeles-Long Beach-Anaheim, CA",Very Low,36992
"Los Angeles-Long Beach-Anaheim, CA",Low,39627
"Los Angeles-Long Beach-Anaheim, CA",Moderate,43669
"Los Angeles-Long Beach-Anaheim, CA",High,49306
"Los Angeles-Long Beach-Anaheim, CA",Very High,53782
"Louisville/Jefferson County, KY-IN",Very Low,29242
"Louisville/Jefferson County, KY-IN",Low,35690
