metro_name,c5_coi_met_lbl,lifex
"Akron, OH",Very Low,72.40000152588
"Akron, OH",Low,76.00000000000
"Akron, OH",Moderate,77.59999847412
"Akron, OH",High,79.59999847412
"Akron, OH",Very High,80.90000152588
"Albany-Schenectady-Troy, NY",Very Low,75.59999847412
"Albany-Schenectady-Troy, NY",Low,80.00000000000
"Albany-Schenectady-Troy, NY",Moderate,80.50000000000
"Albany-Schenectady-Troy, NY",High,81.40000152588
"Albany-Schenectady-Troy, NY",Very High,83.30000305176
"Albuquerque, NM",Very Low,75.90000152588
"Albuquerque, NM",Low,77.19999694824
"Albuquerque, NM",Moderate,78.59999847412
"Albuquerque, NM",High,80.69999694824
"Albuquerque, NM",Very High,80.40000152588
"Allentown-Bethlehem-Easton, PA-NJ",Very Low,76.30000305176
"Allentown-Bethlehem-Easton, PA-NJ",Low,78.80000305176
"Allentown-Bethlehem-Easton, PA-NJ",Moderate,79.80000305176
"Allentown-Bethlehem-Easton, PA-NJ",High,81.90000152588
"Allentown-Bethlehem-Easton, PA-NJ",Very High,81.59999847412
"Atlanta-Sandy Springs-Alpharetta, GA",Very Low,74.69999694824
"Atlanta-Sandy Springs-Alpharetta, GA",Low,76.50000000000
"Atlanta-Sandy Springs-Alpharetta, GA",Moderate,77.59999847412
"Atlanta-Sandy Springs-Alpharetta, GA",High,79.30000305176
"Atlanta-Sandy Springs-Alpharetta, GA",Very High,81.00000000000
"Augusta-Richmond County, GA-SC",Very Low,72.59999847412
"Augusta-Richmond County, GA-SC",Low,74.80000305176
"Augusta-Richmond County, GA-SC",Moderate,74.90000152588
"Augusta-Richmond County, GA-SC",High,78.90000152588
"Augusta-Richmond County, GA-SC",Very High,80.30000305176
"Austin-Round Rock-Georgetown, TX",Very Low,77.09999847412
"Austin-Round Rock-Georgetown, TX",Low,78.80000305176
"Austin-Round Rock-Georgetown, TX",Moderate,79.19999694824
"Austin-Round Rock-Georgetown, TX",High,80.80000305176
"Austin-Round Rock-Georgetown, TX",Very High,81.40000152588
"Bakersfield, CA",Very Low,74.80000305176
"Bakersfield, CA",Low,75.80000305176
"Bakersfield, CA",Moderate,77.09999847412
"Bakersfield, CA",High,78.19999694824
"Bakersfield, CA",Very High,79.09999847412
"Baltimore-Columbia-Towson, MD",Very Low,72.50000000000
"Baltimore-Columbia-Towson, MD",Low,76.90000152588
"Baltimore-Columbia-Towson, MD",Moderate,79.00000000000
"Baltimore-Columbia-Towson, MD",High,80.00000000000
"Baltimore-Columbia-Towson, MD",Very High,81.59999847412
"Baton Rouge, LA",Very Low,71.80000305176
"Baton Rouge, LA",Low,75.19999694824
"Baton Rouge, LA",Moderate,76.90000152588
