metro_name,VH_mob,VL_mob,mob_gap
"Richmond, VA",55334,27957,27378
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",56921,30528,26393
"Baltimore-Columbia-Towson, MD",53782,27957,25825
"Cleveland-Elyria, OH",52262,27957,24305
"Milwaukee-Waukesha, WI",52262,27957,24305
"Birmingham-Hoover, AL",50771,26675,24096
"Akron, OH",53782,30528,23254
"St. Louis, MO-IL",52262,29242,23020
"Toledo, OH",52262,29242,23020
"New York-Newark-Jersey City, NY-NJ-PA",58542,35690,22852
"Omaha-Council Bluffs, NE-IA",56921,34395,22526
"Buffalo-Cheektowaga, NY",53782,31813,21969
"Chicago-Naperville-Elgin, IL-IN-WI",53782,31813,21969
"Kansas City, MO-KS",53782,31813,21969
"New Haven-Milford, CT",52262,30528,21734
"Rochester, NY",50771,29242,21529
"Detroit-Warren-Dearborn, MI",49306,27957,21349
"Bridgeport-Stamford-Norwalk, CT",56921,35690,21231
"Miami-Fort Lauderdale-Pompano Beach, FL",50771,30528,20243
"Columbus, OH",49306,29242,20064
"Indianapolis-Carmel-Anderson, IN",49306,29242,20064
"Albany-Schenectady-Troy, NY",55334,35690,19644
"Memphis, TN-MS-AR",43669,24118,19551
"Wichita, KS",53782,34395,19387
"Dallas-Fort Worth-Arlington, TX",52262,33101,19160
"Boston-Cambridge-Newton, MA-NH",58542,39627,18915
"Atlanta-Sandy Springs-Alpharetta, GA",47867,29242,18625
"Augusta-Richmond County, GA-SC",47867,29242,18625
"Cincinnati, OH-KY-IN",47867,29242,18625
"Louisville/Jefferson County, KY-IN",47867,29242,18625
"Washington-Arlington-Alexandria, DC-VA-MD-WV",56921,38305,18616
"Austin-Round Rock-Georgetown, TX",53782,35690,18092
"Hartford-East Hartford-Middletown, CT",52262,34395,17867
"Fresno, CA",50771,33101,17670
"Oklahoma City, OK",50771,33101,17670
"Phoenix-Mesa-Chandler, AZ",50771,33101,17670
"Ogden-Clearfield, UT",58542,40960,17581
"Springfield, MA",49306,31813,17493
"Syracuse, NY",47867,30528,17339
"San Francisco-Oakland-Berkeley, CA",56921,39627,17294
"Charlotte-Concord-Gastonia, NC-SC",46449,29242,17207
"New Orleans-Metairie, LA",46449,29242,17207
"Dayton-Kettering, OH",45050,27957,17093
"North Port-Sarasota-Bradenton, FL",45050,27957,17093
"Pittsburgh, PA",55334,38305,17030
"Los Angeles-Long Beach-Anaheim, CA",53782,36992,16789
"Allentown-Bethlehem-Easton, PA-NJ",52262,35690,16572
"Colorado Springs, CO",52262,35690,16572
"Tulsa, OK",49306,33101,16205
"Salt Lake City, UT",56921,40960,15960
"Jackson, MS",45050,29242,15808
"Durham-Chapel Hill, NC",43669,27957,15712
"Minneapolis-St. Paul-Bloomington, MN-WI",55334,39627,15707
"San Diego-Chula Vista-Carlsbad, CA",53782,38305,15477
"Denver-Aurora-Lakewood, CO",52262,36992,15269
"Worcester, MA-CT",52262,36992,15269
"Poughkeepsie-Newburgh-Middletown, NY",50771,35690,15081
"Grand Rapids-Kentwood, MI",49306,34395,14911
"Nashville-Davidson--Murfreesboro--Franklin, TN",47867,33101,14766
"Orlando-Kissimmee-Sanford, FL",47867,33101,14766
"Raleigh-Cary, NC",47867,33101,14766
"Tucson, AZ",46449,31813,14636
"Virginia Beach-Norfolk-Newport News, VA-NC",45050,30528,14522
"Greensboro-High Point, NC",42306,27957,14349
"Seattle-Tacoma-Bellevue, WA",53782,39627,14155
"Houston-The Woodlands-Sugar Land, TX",52262,38305,13957
"Oxnard-Thousand Oaks-Ventura, CA",52262,38305,13957
"Sacramento-Roseville-Folsom, CA",52262,38305,13957
"San Antonio-New Braunfels, TX",49306,35690,13616
"Provo-Orem, UT",58542,45050,13492
"Las Vegas-Henderson-Paradise, NV",46449,33101,13348
"Albuquerque, NM",45050,31813,13237
"Columbia, SC",43669,30528,13141
"Knoxville, TN",43669,30528,13141
"Greenville-Anderson, SC",42306,29242,13064
"Winston-Salem, NC",40960,27957,13003
"Bakersfield, CA",50771,38305,12467
"Providence-Warwick, RI-MA",49306,36992,12314
"Modesto, CA",47867,35690,12177
"Riverside-San Bernardino-Ontario, CA",47867,35690,12177
"Baton Rouge, LA",43669,31813,11856
"Cape Coral-Fort Myers, FL",43669,31813,11856
"Tampa-St. Petersburg-Clearwater, FL",43669,31813,11856
"San Jose-Sunnyvale-Santa Clara, CA",55334,43669,11665
"Des Moines-West Des Moines, IA",50771,39627,11144
"Madison, WI",50771,39627,11144
"Portland-Vancouver-Hillsboro, OR-WA",49306,38305,11001
"Lakeland-Winter Haven, FL",42306,31813,10493
"Jacksonville, FL",40960,30528,10433
"Little Rock-North Little Rock-Conway, AR",39627,29242,10385
"Urban Honolulu, HI",50771,40960,9811
"Stockton, CA",45050,35690,9360
"El Paso, TX",47867,39627,8240
"Boise City, ID",45050,38305,6745
"Charleston-North Charleston, SC",40960,34395,6566
"Fayetteville, NC",35690,29242,6448
"Fayetteville-Springdale-Rogers, AR",43669,38305,5365
"Brownsville-Harlingen, TX",45050,40960,4090
"Visalia, CA",40960,36992,3968
"McAllen-Edinburg-Mission, TX",45050,42306,2744
