metro_fips,metro_name,year,group,high,low,missing,moderate,very_high,very_low,group_lbl,normed,metro_name2,in100
10420,"Akron, OH",2021,total,27.6429823731947,11.1964283632762,0,14.7923629232282,26.5887286163752,19.7794977239257,All,Nationally normed Opportunity Levels,"Akron, OH",1
10580,"Albany-Schenectady-Troy, NY",2021,total,21.1393448330304,9.08445418879895,0,14.4825650168611,44.9352531057455,10.358382855564,All,Nationally normed Opportunity Levels,"Albany, NY",1
10740,"Albuquerque, NM",2021,total,17.3536506182446,20.7740707800943,0,26.5890260304252,5.11162352685761,30.1716290443783,All,Nationally normed Opportunity Levels,"Albuquerque, NM",1
10900,"Allentown-Bethlehem-Easton, PA-NJ",2021,total,20.1859917316678,8.50189312809465,0,18.6988220605048,35.558448738186,17.0548443415467,All,Nationally normed Opportunity Levels,"Allentown, PA-NJ",1
12060,"Atlanta-Sandy Springs-Alpharetta, GA",2021,total,21.2537217138083,20.9014086691946,0,20.7404141145266,22.4738912577315,14.6305642447391,All,Nationally normed Opportunity Levels,"Atlanta, GA",1
12260,"Augusta-Richmond County, GA-SC",2021,total,10.0553659604392,29.1271276836457,0,17.5103080142125,9.24392174501668,34.0632765966859,All,Nationally normed Opportunity Levels,"Augusta, GA-SC",1
12420,"Austin-Round Rock-Georgetown, TX",2021,total,22.5271352945966,18.6448211764338,0,13.9204376469469,35.3773438347724,9.5302620472504,All,Nationally normed Opportunity Levels,"Austin, TX",1
12540,"Bakersfield, CA",2021,total,11.8199399742015,8.6024276605693,0,17.3807282401579,0.230810082907886,61.9660940421634,All,Nationally normed Opportunity Levels,"Bakersfield, CA",1
12580,"Baltimore-Columbia-Towson, MD",2021,total,23.2747093245306,10.9558837153432,0,13.1703265783524,41.6644148355481,10.9346655462257,All,Nationally normed Opportunity Levels,"Baltimore, MD",1
12940,"Baton Rouge, LA",2021,total,21.8204552436815,18.1882136006209,0,28.9462435329674,5.6393315883652,25.405756034365,All,Nationally normed Opportunity Levels,"Baton Rouge, LA",1
13820,"Birmingham-Hoover, AL",2021,total,16.8533447456089,23.7806115201114,0,16.5399474259265,19.1640662762837,23.6620300320695,All,Nationally normed Opportunity Levels,"Birmingham, AL",1
14260,"Boise City, ID",2021,total,30.1550339267439,16.447877324304,0,33.2638464630682,12.4817169082193,7.65152537766463,All,Nationally normed Opportunity Levels,"Boise City, ID",1
14460,"Boston-Cambridge-Newton, MA-NH",2021,total,18.172858865111,8.99194334811678,0,9.12556973247393,59.2422056706349,4.4674223836634,All,Nationally normed Opportunity Levels,"Boston, MA-NH",1
14860,"Bridgeport-Stamford-Norwalk, CT",2021,total,15.7740085498657,10.7504248694563,0,7.59951886253158,55.9242799781484,9.95176773999802,All,Nationally normed Opportunity Levels,"Bridgeport, CT",1
15180,"Brownsville-Harlingen, TX",2021,total,0,22.2027436458807,0,0.556446288786193,0,77.2408100653331,All,Nationally normed Opportunity Levels,"Brownsville, TX",1
15380,"Buffalo-Cheektowaga, NY",2021,total,29.7228567491191,6.92973090058596,0,16.9257362375502,24.6086418101675,21.8130343025773,All,Nationally normed Opportunity Levels,"Buffalo, NY",1
15980,"Cape Coral-Fort Myers, FL",2021,total,12.9081941309214,26.5974104278943,0,32.7060827015943,3.044837391934,24.743475347656,All,Nationally normed Opportunity Levels,"Cape Coral, FL",1
16700,"Charleston-North Charleston, SC",2021,total,21.6482207753244,25.4539673101604,0,24.558663361646,17.2305786176631,11.1085699352061,All,Nationally normed Opportunity Levels,"Charleston, SC",1
